Guided mode log DATA time.struct_time(tm_year=2016, tm_mon=6, tm_mday=6, tm_hour=21, tm_min=38, tm_sec=1, tm_wday=0, tm_yday=158, tm_isdst=0)
time	 RC5VAL	 yaw_angle	 objposx	 objposy	 RC7VAL	 vx	 vy	 gain	 size	 roll	 pitch	 RC6VAL
1465249406.024863	1400.000000	-0.395327	514.913574	451.257629	1400.000000	0.400000	-0.400000	0.400000	19.889446	-1.736666	-0.071242	1400.000000
1465249407.450987	1400.000000	-0.303107	514.897583	337.623688	1400.000000	-0.400000	0.400000	0.400000	39.163467	-1.715211	-0.084128	1400.000000
1465249408.524929	1400.000000	-0.223246	603.339661	446.856873	1400.000000	-0.400000	-0.400000	0.400000	20.944099	-1.708118	-0.081280	1400.000000
1465249409.085413	1400.000000	-0.184173	147.647156	406.188629	1400.000000	0.400000	-0.400000	0.400000	6.861042	-1.515576	-0.038605	1400.000000
1465249409.763971	1400.000000	-0.160769	146.022217	404.859985	1400.000000	0.400000	0.400000	0.400000	5.186111	-1.516941	-0.043277	1400.000000
1465249410.496933	1400.000000	-0.119937	633.783997	369.965332	1400.000000	-0.400000	0.400000	0.400000	5.154402	-1.522550	-0.054701	1400.000000
1465249411.136766	1400.000000	-0.090830	601.150574	401.530121	1400.000000	-0.400000	-0.400000	0.400000	5.849703	-1.488707	-0.026274	1400.000000
1465249411.955186	1400.000000	-0.071439	430.498871	383.325287	1400.000000	0.400000	-0.400000	0.400000	11.936316	-1.501926	-0.042663	1400.000000
1465249412.688841	1400.000000	-0.008112	429.125305	395.810272	1400.000000	0.400000	0.400000	0.400000	12.627693	-1.513144	-0.046206	1400.000000
1465249413.209563	1400.000000	0.024040	594.867676	357.843536	1400.000000	-0.400000	0.400000	0.400000	9.677416	-1.516170	-0.046657	1400.000000
1465249413.803514	1400.000000	0.046999	586.193481	386.575378	1400.000000	-0.400000	-0.400000	0.400000	8.635915	-1.517337	-0.049196	1400.000000
1465249414.481023	1400.000000	0.092288	582.055054	385.160553	1400.000000	-0.400000	-0.400000	0.400000	11.220311	-1.517185	-0.038396	1400.000000
1465249415.104676	1400.000000	0.107940	574.675842	391.457123	1400.000000	0.400000	0.400000	0.400000	10.275937	-1.519176	-0.036895	1400.000000
1465249415.655578	1400.000000	0.138164	574.444458	383.585236	1400.000000	0.400000	0.400000	0.400000	15.672817	-1.519890	-0.034294	1400.000000
1465249416.321996	1400.000000	0.150880	570.040955	384.497253	1400.000000	-0.400000	-0.400000	0.400000	11.897929	-1.532052	-0.045159	1400.000000
1465249416.808750	1400.000000	0.167764	568.897461	372.884613	1400.000000	-0.400000	-0.400000	0.400000	18.137613	-1.535731	-0.038842	1400.000000
1465249417.376302	1400.000000	0.199736	585.471436	319.902374	1400.000000	0.400000	0.400000	0.400000	13.198509	-1.542830	-0.037369	1400.000000
1465249418.140745	1400.000000	0.223927	574.433044	344.600189	1400.000000	-0.400000	-0.400000	0.400000	11.905544	-1.543707	-0.039536	1400.000000
1465249419.242806	1400.000000	0.251650	601.016724	298.933167	1400.000000	-0.400000	-0.400000	0.400000	14.066835	-1.543267	-0.035962	1400.000000
1465249420.524074	1400.000000	0.295607	564.779907	395.280304	1400.000000	0.400000	-0.400000	0.400000	16.298979	-1.545963	-0.030430	1400.000000
1465249421.106209	1400.000000	0.333033	562.955811	384.956421	1400.000000	0.400000	-0.400000	0.400000	20.516682	-1.544366	-0.032535	1400.000000
1465249421.694019	1400.000000	0.357084	572.604248	349.161224	1400.000000	0.400000	0.400000	0.400000	16.657574	-1.547945	-0.030741	1400.000000
1465249422.293543	1400.000000	0.369328	549.544006	387.966431	1400.000000	-0.400000	-0.400000	0.400000	15.952476	-1.546540	-0.027408	1400.000000
1465249423.036588	1400.000000	0.389134	557.121460	382.027893	1400.000000	-0.400000	-0.400000	0.400000	15.576299	-1.551418	-0.028271	1400.000000
1465249423.562013	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.557493	-0.026968	1400.000000
1465249424.053400	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.555056	-0.026108	1400.000000
1465249424.630224	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.558199	-0.024446	1400.000000
1465249425.187224	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.577023	-0.016657	1400.000000
1465249425.825095	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.573413	-0.022346	1400.000000
1465249426.548567	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.578294	-0.015243	1400.000000
1465249427.067817	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.578576	-0.013432	1400.000000
1465249427.687313	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.574873	-0.013349	1400.000000
1465249428.420459	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.576003	-0.012519	1400.000000
1465249428.971558	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.568731	-0.017050	1400.000000
1465249429.523007	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.560283	-0.018182	1400.000000
1465249430.259817	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.552031	-0.021044	1400.000000
1465249431.697007	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.536852	-0.027291	1400.000000
1465249433.146810	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.535244	-0.022468	1400.000000
1465249433.739298	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.519203	-0.020073	1400.000000
1465249434.501888	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.487351	-0.038407	1400.000000
1465249434.989442	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.472949	-0.044075	1400.000000
1465249435.618970	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.479325	-0.046255	1400.000000
1465249436.301247	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.480817	-0.048416	1400.000000
1465249436.873004	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.485974	-0.057361	1400.000000
1465249437.549132	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.486750	-0.047776	1400.000000
1465249438.538944	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.486776	-0.046152	1400.000000
